compute_flops,N_over_Nopt,parameters_N,training_tokens_D,predicted_loss
5e+23,0.8317637711026713,25116917779.1723,3317816862164.347,1.9364350465850717
5e+23,0.8709635899560805,26300641645.6185,3168490505143.8574,1.9362602657228487
5e+23,0.9120108393559097,27540152699.18352,3025884941291.698,1.9361356183721783
5e+23,0.9549925860214359,28838080108.996105,2889697685087.4795,1.9360609410687277
5e+23,1,30197176953.10862,2759639865101.8486,1.9360360808742203
5e+23,1.0471285480508996,31620326058.14472,2635435611261.461,1.9360608953165543
5e+23,1.0964781961431846,33110546114.161087,2516821469691.568,1.9361352523322004
5e+23,1.1481536214968828,34670998077.69387,2403545843895.02,1.936259030210854
5e+23,1.2022644346174132,36304991876.57111,2295368461082.3794,1.936432117542327
5e+23,1.2589254117941675,38015993430.713615,2192059862521.1055,1.936654413165666
5e+23,1.3182567385564075,39807632003.81568,2093400916822.8237,1.9369258261204751
5e+23,1.3803842646028845,41683707901.500015,1999182355136.2744,1.9372462756004287
5e+23,1.4454397707459272,43648200532.27552,1909204327260.0154,1.937615690908964
5e+23,1.513561248436208,45705276848.39617,1823275977733.358,1.9380340114171275
5e+23,1.5848931924611134,47859300184.525475,1741215041006.3416,1.9385011865235753
5e+23,1.6595869074375613,50114839512.95434,1662847454830.066,1.9390171756167
5e+23,1.7378008287493754,52476679135.0037,1588006991047.3281,1.939581948038877
5e+23,1.8197008586099834,54949828829.16936,1516534903000.4075,1.9401954830528196
5e+23,1.9054607179632472,57539534477.53357,1448279588808.1265,1.9408577698100236
5e+23,1.9952623149688797,60251289192.984406,1383096269797.9346,1.941568807321293
5e+23,2.0892961308540396,63090844970.84462,1320846683410.931,1.9423286044293384
5e+23,2.1877616239495516,66064224889.624886,1261398789928.4426,1.9431371797834285
5e+23,2.2908676527677723,69177735886.781,1204626492398.0735,1.9439945618160928
5e+23,2.39883291901949,72437982136.57362,1150409369165.1675,1.9449007887218575
5e+23,2.511886431509581,75851879058.40738,1098632418442.3314,1.945855908438012
5e+23,2.6302679918953826,79426667985.36253,1049185814375.2267,1.94685997862739
5e+23,2.7542287033381663,83169931524.03351,1001964674087.2043,1.9479130666631599
5e+23,2.8840315031266055,87089609638.25394,956868835208.6646,1.9490152496156157
